name,snr,mass_final,snr_h1,res_h1,snr_l1,res_l1,S0,p,bkg_p90,S_inj,rho90
GW240601_231004,10.4,17.7,nan,nan,nan,nan,13.71,0.3184,16.58,75.83,2.805
GW200316_215756,10.3,20.2,nan,nan,nan,nan,20.89,0.06468,19.29,90.14,2.775
GW240426_031451,10.3,84,5.702,2.278,7.67,2.196,12.65,0.8159,19.79,77.55,3.031
GW240825_055146,10.3,20.3,nan,nan,nan,nan,10.79,0.7313,16.34,93.06,2.514
GW241130_110422,10.3,17,nan,nan,nan,nan,7.497,0.9303,15.79,80.3,2.661
GW190828_065509,10.2,33,7.906,2.906,6.833,3.042,20.01,0.1095,20.09,80.87,2.991
GW230709_122727,10.2,71,6.448,3.01,6.796,3.451,15.74,0.3433,18.89,74.74,3.016
GW231223_032836,10.2,73,6.656,2.665,6.637,2.443,16.08,0.7114,22.36,82.8,3.118
GW240507_041632,10.2,38.9,6.66,2.795,7.189,2.457,19.52,0.6915,23.92,75.93,3.367
GW241110_124123,10.2,23.7,nan,nan,nan,nan,13.12,0.5274,18.39,77.61,2.92
GW230702_185453,10.1,57,6.394,2.999,7.385,2.727,32.48,0.5423,36.17,53.46,4.935
GW230723_101834,10.1,26.4,7.461,3.13,6.091,3.833,15.91,0.4179,18.88,60.04,3.365
GW230708_230935,10,99,7.747,3.239,5.528,2.922,17.31,0.0796,16.72,60.85,3.146
GW231114_043211,10,30.1,7.351,2.608,6.712,2.147,14.3,0.6915,20.52,84.44,2.958
GW231221_135041,10,73,7.3,2.167,5.041,2.477,18.41,0.08458,17.81,119.9,2.312
GW240601_061200,10,82,4.694,2.077,7.578,3.169,26.97,0.2189,28.13,72.12,3.747
GW241009_220455,10,56,5.473,3.298,6.181,2.406,11.68,0.7512,17.24,70,2.978
GW230630_234532,9.9,16.1,nan,nan,nan,nan,12.83,0.3831,16.65,73.39,2.858
GW230819_171910,9.9,102,6.618,2.022,5.472,1.996,13.62,0.7164,19.52,73.87,3.085
GW231127_165300,9.9,71,7.524,2.07,5.508,2.6,28.04,0.1443,28.95,79.08,3.63
GW240612_081540,9.9,88,6.441,2.276,4.911,2.867,23.55,0.2289,25.25,74.4,3.495
GW240627_131622,9.8,19.3,nan,nan,nan,nan,19.55,0.4826,23.17,102.8,2.849
GW240916_184352,9.8,17.8,nan,nan,nan,nan,16.32,0.1493,17.08,85.18,2.687
GW241007_082943,9.8,60.1,8.145,2.348,4.75,2.818,13.65,0.995,21.53,112.8,2.621
GW250101_011205,9.8,48.7,4.733,3.114,7.697,3.374,17.58,0.8905,24.41,60.87,3.8
GW190929_012149,9.7,90.3,7.067,2.103,7.146,5.904,21.36,0.0199,18.42,112,2.433
GW190930_133541,9.7,20.2,nan,nan,nan,nan,13.29,0.4428,16.78,79.96,2.749
GW191105_143521,9.7,17.6,nan,nan,nan,nan,16.06,0.607,36.54,99.73,3.632
GW240526_093944,9.7,22.1,8.336,2.968,4.847,3.869,15.82,0.4129,19.38,63.2,3.323
GW200209_085452,9.6,59.9,7.431,3.455,5.53,3.283,18.15,0.194,19.51,65.21,3.282
GW240107_013215,9.6,87,7.069,2.931,5.01,2.127,12.38,0.7811,19.27,67.94,3.195
GW230712_090405,9.5,44,4.799,2.864,6.796,2.684,16.13,0.3682,19.67,65.19,3.296
GW230729_082317,9.5,19.3,nan,nan,nan,nan,10.65,0.7512,16.95,104.5,2.417
GW230805_034249,9.5,52.4,5.641,2.705,6.653,2.858,13.53,0.8259,20.05,72.07,3.165
GW230704_021211,9.4,50.7,4.806,2.99,7.895,3.764,17.99,0.6567,22.25,53.71,3.862
GW230803_033412,9.4,70,5.821,1.914,5.163,2.856,18.98,0.3433,22.13,65.3,3.493
GW230806_204041,9.4,82,6.976,2.262,5.465,2.032,21.79,0.4776,25.69,99.02,3.056
GW231129_081745,9.4,66,5.859,2.087,6.151,5.118,22.41,0.7015,26.94,65.83,3.838
GW231223_075055,9.4,18.1,nan,nan,nan,nan,15.35,0.3284,18.77,70.27,3.101
GW240505_133552,9.4,51.8,5.604,2.074,6.543,2.596,20.7,0.05473,19.31,61.27,3.368
GW151012,9.3,37.1,6.411,2.565,6.318,2.418,20.2,0.0796,19.49,57.01,3.508
GW190803_022701,9.3,62.1,5.602,2.98,7.016,2.955,20.3,0.03483,18.1,59.49,3.31
GW230820_212515,9.3,92,7.969,2.552,4.736,2.096,15.78,0.3682,18.44,62.9,3.248
GW231008_142521,9.3,69,6.088,2.49,6.484,2.303,18.74,0.08955,18.41,65.57,3.179
