# f[Hz]  Omega_total  Omega_last_bounce  Omega_comb_tail
# NVG derived template: f* = 2.80e-05 Hz, Omega* = 1.20e-09,
# comb spacing 2^(-1/3) = 0.7937, dilution 2^(4/3) = 2.5198
1.513561e-04  2.797640e-11  2.332966e-11  4.646739e-12
1.548817e-04  2.567916e-11  2.142381e-11  4.255346e-12
1.584893e-04  2.356403e-11  1.966782e-11  3.896218e-12
1.621810e-04  2.161739e-11  1.805061e-11  3.566784e-12
1.659587e-04  1.982652e-11  1.656186e-11  3.264665e-12
1.698244e-04  1.817959e-11  1.519192e-11  2.987664e-12
1.737801e-04  1.666556e-11  1.393181e-11  2.733754e-12
1.778279e-04  1.527421e-11  1.277315e-11  2.501060e-12
1.819701e-04  1.399602e-11  1.170816e-11  2.287856e-12
1.862087e-04  1.282216e-11  1.072961e-11  2.092549e-12
1.905461e-04  1.174444e-11  9.830764e-12  1.913673e-12
1.949845e-04  1.075527e-11  9.005400e-12  1.749875e-12
1.995262e-04  9.847648e-12  8.247737e-12  1.599911e-12
2.041738e-04  9.015058e-12  7.552421e-12  1.462637e-12
2.089296e-04  8.251497e-12  6.914498e-12  1.337000e-12
2.137962e-04  7.551414e-12  6.329384e-12  1.222030e-12
2.187762e-04  6.909682e-12  5.792844e-12  1.116838e-12
2.238721e-04  6.321569e-12  5.300962e-12  1.020607e-12
2.290868e-04  5.782711e-12  4.850127e-12  9.325838e-13
2.344229e-04  5.289084e-12  4.437003e-12  8.520804e-13
2.398833e-04  4.836980e-12  4.058517e-12  7.784631e-13
2.454709e-04  4.422984e-12  3.711833e-12  7.111509e-13
2.511886e-04  4.043952e-12  3.394341e-12  6.496109e-13
2.570396e-04  3.696991e-12  3.103636e-12  5.933542e-13
2.630268e-04  3.379438e-12  2.837506e-12  5.419326e-13
2.691535e-04  3.088848e-12  2.593913e-12  4.949354e-13
2.754229e-04  2.822971e-12  2.370985e-12  4.519858e-13
2.818383e-04  2.579739e-12  2.167001e-12  4.127388e-13
2.884032e-04  2.357256e-12  1.980377e-12  3.768784e-13
2.951209e-04  2.153776e-12  1.809661e-12  3.441152e-13
3.019952e-04  1.967702e-12  1.653518e-12  3.141839e-13
3.090295e-04  1.797563e-12  1.510721e-12  2.868418e-13
3.162278e-04  1.642013e-12  1.380147e-12  2.618669e-13
3.235937e-04  1.499818e-12  1.260762e-12  2.390557e-13
3.311311e-04  1.369843e-12  1.151621e-12  2.182222e-13
3.388442e-04  1.251051e-12  1.051854e-12  1.991961e-13
3.467369e-04  1.142489e-12  9.606673e-13  1.818217e-13
3.548134e-04  1.043286e-12  8.773297e-13  1.659565e-13
3.630781e-04  9.526432e-13  8.011730e-13  1.514702e-13
3.715352e-04  8.698284e-13  7.315847e-13  1.382436e-13
3.801894e-04  7.941717e-13  6.680038e-13  1.261679e-13
3.890451e-04  7.250596e-13  6.099162e-13  1.151434e-13
3.981072e-04  6.619307e-13  5.568517e-13  1.050791e-13
4.073803e-04  6.042710e-13  5.083793e-13  9.589169e-14
4.168694e-04  5.516101e-13  4.641049e-13  8.750519e-14
4.265795e-04  5.035177e-13  4.236676e-13  7.985008e-14
4.365158e-04  4.596001e-13  3.867373e-13  7.286283e-14
4.466836e-04  4.194973e-13  3.530119e-13  6.648542e-14
4.570882e-04  3.828800e-13  3.222151e-13  6.066482e-14
4.677351e-04  3.494469e-13  2.940943e-13  5.535259e-14
4.786301e-04  3.189227e-13  2.684182e-13  5.050448e-14
4.897788e-04  2.910556e-13  2.449755e-13  4.608009e-14
5.011872e-04  2.656156e-13  2.235731e-13  4.204249e-14
5.128614e-04  2.423923e-13  2.040343e-13  3.835798e-14
5.248075e-04  2.211933e-13  1.861975e-13  3.499577e-14
5.370318e-04  2.018431e-13  1.699154e-13  3.192774e-14
5.495409e-04  1.841811e-13  1.550528e-13  2.912822e-14
5.623413e-04  1.680605e-13  1.414867e-13  2.657377e-14
5.754399e-04  1.533474e-13  1.291044e-13  2.424299e-14
5.888437e-04  1.399194e-13  1.178030e-13  2.211633e-14
6.025596e-04  1.276645e-13  1.074885e-13  2.017597e-14
6.165950e-04  1.164807e-13  9.807505e-14  1.840561e-14
6.309573e-04  1.062745e-13  8.948415e-14  1.679039e-14
6.456542e-04  9.696094e-14  8.164419e-14  1.531675e-14
6.606934e-04  8.846202e-14  7.448973e-14  1.397228e-14
6.760830e-04  8.070672e-14  6.796102e-14  1.274570e-14
6.918310e-04  7.363015e-14  6.200347e-14  1.162668e-14
7.079458e-04  6.717306e-14  5.656725e-14  1.060581e-14
7.244360e-04  6.128135e-14  5.160686e-14  9.674482e-15
7.413102e-04  5.590562e-14  4.708076e-14  8.824862e-15
7.585776e-04  5.100080e-14  4.295101e-14  8.049789e-15
7.762471e-04  4.652571e-14  3.918298e-14  7.342731e-15
7.943282e-04  4.244278e-14  3.574505e-14  6.697728e-15
8.128305e-04  3.871771e-14  3.260837e-14  6.109339e-15
8.317638e-04  3.531919e-14  2.974659e-14  5.572600e-15
8.511380e-04  3.221864e-14  2.713566e-14  5.082984e-15
8.709636e-04  2.938999e-14  2.475363e-14  4.636357e-15
8.912509e-04  2.680942e-14  2.258048e-14  4.228948e-15
9.120108e-04  2.445522e-14  2.059790e-14  3.857317e-15
9.332543e-04  2.230755e-14  1.878923e-14  3.518325e-15
9.549926e-04  2.034832e-14  1.713921e-14  3.209108e-15
9.772372e-04  1.856102e-14  1.563397e-14  2.927052e-15
1.000000e-03  1.693058e-14  1.426080e-14  2.669775e-15
